Known optimum reached.
Time,Quality,AMs
108,0.6220000000000003,43
373,0.5600000000000003,36
867,0.7260000000000004,45
Maximum time exceeded.
Time,Quality,AMs
105,0.6180000000000003,39
368,0.5580000000000003,35
849,0.7000000000000004,42
1111,0.6240000000000003,38
1454,0.6240000000000003,38
1858,0.6240000000000003,38
2104,0.5560000000000003,34
2619,0.7000000000000004,42
2872,0.6520000000000004,38
3205,0.7000000000000004,42
3585,0.7000000000000004,42
3820,0.6320000000000003,38
4257,0.7000000000000005,42
4499,0.6520000000000004,38
4824,0.6540000000000005,43
5191,0.6540000000000005,43
5426,0.5860000000000003,39
6040,0.6960000000000004,42
6281,0.6480000000000005,38
6602,0.7000000000000004,42
6969,0.7000000000000004,42
7199,0.6200000000000003,38
7624,0.7080000000000004,44
7862,0.6360000000000003,40
8201,0.7000000000000005,42
8572,0.7000000000000005,42
8807,0.6440000000000005,38
9252,0.7000000000000005,42
9495,0.6320000000000003,38
9910,0.7140000000000004,45
Known optimum reached.
Time,Quality,AMs
108,0.6580000000000004,45
367,0.5800000000000003,38
870,0.7140000000000004,45
1132,0.6620000000000004,41
1479,0.6620000000000004,41
1875,0.6620000000000004,41
2123,0.5940000000000003,37
2567,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
101,0.6240000000000003,38
359,0.5680000000000003,36
821,0.7220000000000004,45
1075,0.6540000000000004,41
1412,0.6540000000000004,41
1803,0.6540000000000004,41
2044,0.5860000000000003,37
2531,0.7220000000000004,45
2779,0.6500000000000004,41
3110,0.6500000000000004,41
3484,0.6500000000000004,41
3720,0.5940000000000003,37
4198,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
106,0.6460000000000004,41
371,0.5720000000000004,38
839,0.7080000000000004,44
1104,0.6480000000000004,40
1453,0.6480000000000004,40
1863,0.6480000000000004,40
2103,0.6040000000000003,36
2555,0.7220000000000004,45
2808,0.6580000000000004,41
3140,0.7220000000000004,45
3528,0.7220000000000004,45
3776,0.6660000000000004,41
4221,0.7260000000000004,43
Known optimum reached.
Time,Quality,AMs
109,0.6380000000000003,39
373,0.5660000000000003,35
864,0.7000000000000004,42
1127,0.6320000000000003,38
1474,0.6320000000000003,38
1869,0.6320000000000003,38
2114,0.5640000000000003,34
2615,0.7120000000000004,40
2887,0.6400000000000003,36
3224,0.6400000000000003,36
3611,0.6400000000000003,36
3893,0.5760000000000003,32
4468,0.7160000000000004,42
4756,0.6520000000000005,38
5094,0.6940000000000004,45
5462,0.6940000000000004,45
5698,0.6380000000000003,41
6124,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
105,0.6380000000000003,39
378,0.5740000000000003,35
865,0.7180000000000004,45
1133,0.6580000000000004,41
1499,0.6580000000000004,41
1917,0.6580000000000004,41
2172,0.5820000000000003,37
2663,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
112,0.6400000000000003,42
376,0.5800000000000003,36
897,0.7140000000000004,45
1167,0.6380000000000003,41
1535,0.6380000000000003,41
1942,0.6380000000000003,41
2187,0.5760000000000003,36
2648,0.7040000000000004,42
2903,0.6480000000000004,38
3241,0.6500000000000004,43
3633,0.6500000000000004,43
3878,0.5920000000000003,34
4336,0.7120000000000004,40
4584,0.6360000000000003,36
4913,0.6620000000000005,41
5279,0.6620000000000005,41
5508,0.6100000000000003,37
5994,0.7020000000000004,43
6231,0.6140000000000003,39
6552,0.6480000000000004,40
6917,0.6480000000000004,40
7148,0.5780000000000003,35
7569,0.7040000000000004,42
7803,0.6320000000000003,38
8134,0.7180000000000004,45
8496,0.7180000000000004,45
8731,0.6620000000000005,41
9175,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
105,0.6460000000000004,41
367,0.5780000000000003,37
851,0.7260000000000004,43
Known optimum reached.
Time,Quality,AMs
102,0.6400000000000003,44
365,0.5920000000000003,40
833,0.7140000000000004,45
1095,0.6740000000000003,41
1439,0.6740000000000003,41
1838,0.6740000000000003,41
2078,0.6340000000000003,37
2528,0.7260000000000004,45
Known optimum reached.
