"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"
"0-0.xml"	"0-0.xml"	"10-5.xml"	"10-5.xml"	"20-20.xml"	"20-20.xml"	"30-45.xml"	"30-45.xml"	"40-80.xml"	"40-80.xml"	"50-125.xml"	"50-125.xml"	"60-180.xml"	"60-180.xml"	"70-245.xml"	"70-245.xml"	"80-320.xml"	"80-320.xml"	"90-405.xml"	"90-405.xml"	"100-500.xml"	"100-500.xml"
21	192	24	62	25	63	34	69	62	90	137	136	636	416	1089	1342	3769	6848	20815	29363	175187	29104
17	42	19	63	21	62	30	70	55	80	143	177	438	443	886	1221	1881	3812	21024	28677	38562	47417
18	88	19	48	21	64	32	52	52	74	173	174	460	363	1126	1011	2508	2265	18259	25842	46446	61873
18	39	21	67	21	49	33	70	51	75	105	130	663	401	1287	1218	3297	3342	17622	21575	38618	57176
18	52	19	46	21	67	32	68	47	93	126	183	290	540	957	1174	2504	2830	21607	22520	62945	56380
21	58	22	48	25	49	36	69	57	80	102	205	693	583	1184	1113	2978	4616	15548	20290	48502	30644
17	50	19	63	21	49	29	68	52	75	110	156	475	485	978	1444	2428	2507	29115	38408	64672	44163
18	57	19	48	21	49	34	63	54	76	171	236	372	542	1027	1064	2431	2521	28947	23825	77201	34868
18	42	19	60	21	63	30	67	57	92	154	186	478	811	1162	1157	2317	2934	20090	40154	42397	59990
18	56	20	48	21	59	33	79	52	125	126	225	739	651	1087	1681	2178	3184	33216	25854	52581	57638
28	67	23	63	31	64	35	71	53	90	150	172	721	498	600	1065	4453	3131	30031	13439	43556	49981
19	55	18	47	21	48	29	68	57	86	126	137	557	443	896	1000	4790	3418	22509	29281	84085	81672
18	53	18	46	20	47	33	84	47	80	136	164	544	464	1452	2062	2599	2892	22944	29757	58857	106078
17	51	18	48	21	62	33	52	44	72	109	175	408	695	1367	964	2429	2668	12413	25315	74412	54035
17	57	19	56	21	61	31	68	50	100	124	128	535	755	1685	1907	3339	2789	23785	26357	38642	56674
18	53	19	46	21	65	34	68	41	92	140	209	379	468	953	1671	1544	2400	17595	22150	85164	75029
17	32	23	47	22	80	30	69	54	77	170	161	752	376	1272	899	2637	2978	19734	19687	64991	67905
18	52	20	48	25	64	31	67	55	81	181	121	624	697	1039	1141	4587	3589	29539	20556	46024	64837
19	41	21	48	24	63	30	68	46	99	141	199	280	554	806	1153	5235	2401	19321	40589	52358	74610
18	49	20	47	23	49	30	67	47	96	170	149	461	667	1231	1280	2302	3528	20079	39314	59566	53307
23	32	24	47	21	48	30	67	47	83	194	162	400	508	894	1056	2822	3234	24218	29246	48921	96682
18	57	20	60	21	50	34	68	46	99	137	162	489	937	892	1231	1945	3272	26749	35577	33047	53891
17	57	21	47	22	48	31	69	44	77	142	138	753	714	1737	1132	2787	2773	15713	21648	63786	52701
18	43	20	46	23	48	30	53	50	79	140	186	349	499	1551	1123	2288	4992	23184	31155	45255	69534
18	59	22	46	21	47	31	68	56	76	109	183	588	446	1321	1321	2202	2318	21796	21524	38965	47622
19	77	19	46	22	56	32	79	54	109	119	181	548	424	1194	1266	4592	4116	23100	30313	65445	53920
18	54	21	48	22	47	32	67	54	75	121	192	541	615	1226	1587	2064	2830	26339	37442	49808	55423
19	51	19	46	22	49	31	67	56	81	124	202	433	481	799	1620	2959	2869	20907	22326	74271	46597
18	51	20	47	22	64	31	67	54	87	143	166	434	544	999	1036	3094	2899	37227	21654	49372	83046
18	28	18	61	21	63	30	68	45	91	124	184	565	432	879	1374	4067	3510	19394	18942	35114	40859
19	67	20	45	23	65	32	69	60	93	137	142	591	619	736	1082	2262	2252	30716	19599	48619	67602
18	55	20	46	22	48	33	67	50	86	154	238	347	528	1222	1186	4320	3203	24691	40475	36172	47279
18	43	24	64	20	48	29	67	48	79	134	229	347	693	1683	1374	2360	2410	16341	20402	72707	53934
18	73	18	47	22	66	31	72	44	90	101	137	407	352	973	1533	2565	3178	15790	25574	63770	37910
18	53	18	46	20	64	31	68	50	90	155	170	540	519	535	1451	2708	2566	15890	21274	53046	55126
19	57	19	76	24	65	31	71	45	78	167	209	443	357	1320	1172	2692	4030	22747	29312	52512	45161
19	65	20	61	23	36	30	68	58	87	103	178	484	366	1149	817	2558	3366	20732	25060	51006	36144
19	58	20	47	23	47	31	70	51	100	125	193	428	695	687	1549	3165	4559	24685	26260	56058	86251
19	57	18	64	23	45	30	67	50	77	143	167	569	510	823	886	3387	2206	20448	20111	96061	54550
19	59	20	47	22	48	31	68	51	78	134	190	644	498	907	983	2663	4093	30954	25436	36707	70729
20	53	26	46	26	64	41	53	67	96	168	214	472	506	1579	1104	3303	3409	19284	19029	48327	58223
18	55	20	50	24	48	30	67	51	80	143	198	420	728	1022	1225	4500	2577	32739	18445	57282	68050
18	57	19	78	20	48	31	72	44	77	143	178	436	575	1116	1082	2999	1414	14059	21689	53275	41570
18	44	18	62	23	50	31	70	49	94	101	215	338	471	957	1046	1867	2964	20622	22811	28862	58338
17	43	19	47	23	49	32	84	48	78	102	154	517	598	726	1423	4114	3314	31897	49444	44617	44551
18	59	21	47	23	47	34	68	49	71	106	156	496	449	784	807	4289	3037	28750	19126	88894	65761
19	43	20	47	21	50	34	51	49	84	151	173	493	479	1377	987	2052	2811	20964	33500	41123	57716
19	58	20	61	21	64	29	50	58	93	144	179	523	422	907	1261	1648	3452	23298	20688	50796	88092
19	34	22	47	22	63	31	66	56	78	162	174	462	408	814	1879	3577	2897	34547	24384	49707	86058
18	50	18	47	21	62	29	68	60	95	101	157	763	454	1053	954	1819	2972	31704	29661	43441	38529
